Parameter,Distribution,Min,Meanlog,Mean,Mode,Max,SDlog,SD
mw,Lognormal,,5.268131692,,,,0.525185904,
pKaChemClass,,,,,,,,
pKa.gain,Uniform,0,,,,14,,
pKa.loss,Uniform,0,,,,14,,
Kow,Lognormal,,5.086895178,,,,6.273559464,
Koc,Lognormal,,6.359826917,,,,2.813879666,
Kh25c,Lognormal,,-6.509661914,,,,11.86304373,
Pvap25,Lognormal,,-5.736627219,,,,12.34323827,
Sol25,Lognormal,,5.951567585,,,,5.489620509,
Kdoc,Lognormal,,2.561166534,,,,6.273559464,
KpSS,Lognormal,,10.4768705,,,,5.068263943,
KpSd,Lognormal,,9.028557338,,,,1.670175439,
KpSI,Lognormal,,4.842451288,,,,4.522893773,
kdegA,Lognormal,,-11.33255241,,,,2.058213932,
kdegW,Lognormal,,-15.12432759,,,,0.797421737,
kdegSd,Lognormal,,-17.32373399,,,,0.807001373,
kdegSI,Lognormal,,-15.54904319,,,,1.092488124,
avlogEC50,Normal,,,0.642642245,,,,1.41690379
